subpopulation,cell_num,num_nodes,num_edges,giulia_spatial_entropy,runtime,nodelist,edgelist
FA3_CD19_Bcells,2940,1337,79759,144210.97263035484,3.3440229892730713,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2940_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2940_edgelist.csv
FA3_CD19_Bcells,1034,1041,49176,94051.3242608693,2.044588088989258,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_1034_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_1034_edgelist.csv
FA3_CD19_Bcells,2107,1406,89125,151967.74918511178,4.003483057022095,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2107_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2107_edgelist.csv
FA3_CD19_Bcells,543,533,13936,27459.920950778614,0.491962194442749,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_543_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_543_edgelist.csv
FA3_CD19_Bcells,896,2752,263906,533051.9429531142,16.361783981323242,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_896_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_896_edgelist.csv
FA3_CD19_Bcells,5121,760,28792,49204.9988241758,1.1910600662231445,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_5121_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_5121_edgelist.csv
FA3_CD19_Bcells,468,1175,64825,115899.20231261493,3.0787570476531982,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_468_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_468_edgelist.csv
FA3_CD19_Bcells,3699,3421,458777,976574.7727593988,27.595019817352295,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_3699_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_3699_edgelist.csv
FA3_CD19_Bcells,2507,1626,113712,206901.01439741565,5.914371013641357,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2507_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2507_edgelist.csv
FA3_CD19_Bcells,2747,1242,71382,123627.96055310249,3.084601879119873,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2747_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2747_edgelist.csv
FA3_CD19_Bcells,2219,2530,225079,473698.2079670171,12.486056089401245,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2219_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_2219_edgelist.csv
FA3_CD19_Bcells,134,791,33443,59801.68445266956,1.1242718696594238,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_134_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_134_edgelist.csv
FA3_CD19_Bcells,1488,893,40164,70909.29282068602,1.4915051460266113,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_1488_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_1488_edgelist.csv
FA3_CD19_Bcells,4001,1026,55971,92796.53339360822,1.9817240238189697,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_4001_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_4001_edgelist.csv
FA3_CD19_Bcells,6204,1131,56003,108990.63626596518,2.3250250816345215,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_6204_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_6204_edgelist.csv
FA3_CD19_Bcells,1737,1271,69239,120736.39823590021,3.337022066116333,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_1737_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_1737_edgelist.csv
FA3_CD19_Bcells,6784,1471,94145,165593.22178446964,4.517128944396973,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_6784_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_6784_edgelist.csv
FA3_CD19_Bcells,5538,323,6945,11505.398784403322,0.2066669464111328,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_5538_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_5538_edgelist.csv
FA3_CD19_Bcells,614,1249,69471,123971.09228238644,3.243407964706421,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_614_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_614_edgelist.csv
FA3_CD19_Bcells,5436,985,48256,81243.7111318673,1.768610954284668,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_5436_nodelist.csv,../network_data/subpopulations_in_progress/FA3_CD19_Bcells/FA3_CD19_Bcells_5436_edgelist.csv
